datetime;wse;wse_u
2016-05-13 07:22:33;10.988;0.030
2016-06-09 07:22:33;10.695;1.132
2016-07-06 07:22:34;11.354;0.112
2016-08-02 07:22:33;11.063;0.078
2016-08-29 07:22:31;11.309;0.134
2016-09-25 07:22:37;11.349;1.288
2016-10-22 07:22:36;11.343;0.046
2016-11-18 07:22:33;11.136;0.001
2016-12-15 07:22:30;11.238;1.568
2017-01-11 07:22:34;10.930;0.107
2017-02-07 07:22:34;10.778;1.254
2017-03-06 07:22:33;11.093;0.111
2017-04-02 07:22:36;11.286;0.474
2017-04-29 07:22:38;10.795;0.560
2017-05-26 07:22:43;10.686;0.063
2017-07-19 07:22:40;11.332;0.710
2017-08-15 07:22:38;11.009;0.079
2017-09-11 07:22:34;11.247;0.073
2017-10-08 07:22:38;11.015;0.119
2017-11-04 07:22:40;11.152;1.321
2017-12-01 07:22:36;11.139;0.063
2017-12-28 07:22:39;10.907;0.080
2018-01-24 07:22:41;11.172;0.016
2018-02-20 07:22:41;11.590;0.033
2018-03-19 07:22:38;10.898;0.058
2018-04-15 07:22:43;10.896;0.081
2018-05-12 07:22:44;10.408;0.057
2018-06-08 07:22:45;10.280;0.321
2018-07-05 07:22:44;10.311;0.033
2018-08-01 07:22:41;10.433;0.036
2018-08-28 07:22:38;10.407;0.024
2018-10-21 07:22:45;10.271;0.075
2018-11-17 07:22:43;10.633;0.072
2018-12-14 07:22:39;10.594;0.103
2019-01-10 07:22:42;10.417;1.481
2019-02-06 07:22:44;10.947;0.195
2019-03-05 07:22:42;10.822;1.456
2019-04-01 07:22:45;11.751;2.164
2019-04-28 07:22:49;11.517;0.015
2019-05-25 07:22:49;11.084;0.025
2019-06-21 07:22:48;11.281;0.146
2019-07-18 07:22:48;12.496;0.139
2019-08-14 07:22:45;12.018;0.037
2019-09-10 07:22:45;12.442;0.103
2019-10-07 07:22:47;12.272;1.014
2019-11-30 07:22:42;12.137;0.077
2019-12-27 07:22:43;11.448;0.005
2020-01-23 07:22:46;12.198;0.042
2020-02-19 07:22:45;11.424;0.013
2020-03-17 07:22:45;12.080;0.052
2020-04-13 07:22:50;11.399;0.082
2020-05-10 07:22:53;11.434;0.019
2020-06-06 07:22:52;12.574;0.003
2020-07-03 07:22:52;12.781;1.524
2020-07-30 07:22:51;12.416;1.087
2020-08-26 07:22:48;11.954;0.114
2020-09-22 07:22:49;12.229;0.042
2020-10-19 07:22:51;12.319;1.017
2020-11-15 07:22:48;11.282;0.061
2020-12-12 07:22:44;11.610;0.044
2021-01-08 07:22:49;11.115;0.009
2021-02-04 07:22:52;11.153;0.012
2021-03-03 07:22:50;11.136;0.053
2021-03-30 07:22:51;11.419;0.094
2021-04-26 07:22:56;10.879;0.153
2021-05-23 07:22:57;10.740;1.398
2021-06-19 07:22:58;11.626;0.063
2021-07-16 07:22:57;11.992;0.123
2021-08-12 07:22:54;11.645;0.011
2021-09-08 07:22:52;12.147;0.046
2021-10-05 07:22:55;11.879;0.101
2021-11-01 07:22:54;11.128;1.427
2021-11-28 07:22:54;11.247;1.331
2021-12-25 07:22:54;10.900;1.379
2022-01-21 07:22:58;11.016;0.051
2022-02-17 07:22:57;10.657;0.042
2022-03-16 07:22:55;11.163;0.182
2022-04-12 07:22:57;11.240;0.145
2022-05-09 07:22:59;10.625;0.060
2022-06-05 07:22:58;10.484;0.054
2022-07-02 07:22:57;10.613;0.080
2022-07-29 07:22:53;10.787;0.075
2022-08-25 07:22:49;10.474;0.072
2022-09-21 07:22:54;10.568;0.104
2022-10-18 07:22:53;10.475;0.027
2022-11-14 07:22:51;10.369;0.140
2022-12-11 07:22:48;10.746;0.120
2023-01-07 07:22:51;11.057;0.077
2023-02-03 07:22:53;10.519;0.023
2023-03-02 07:22:50;10.489;1.522
2023-03-29 07:22:56;10.689;0.049
2023-04-25 07:22:56;10.650;0.086
2023-05-22 07:22:55;10.489;0.012
2023-06-18 07:22:52;10.226;1.293
2023-07-15 07:22:50;10.478;0.135
2023-08-11 07:22:46;10.460;0.416
2023-09-07 07:22:48;10.401;0.040
2023-10-31 07:22:50;10.901;1.159
2023-11-27 07:22:46;10.383;0.059
2023-12-24 07:22:51;11.002;1.329
2024-01-20 07:22:51;10.575;0.021
2024-02-16 07:22:51;10.758;1.403
2024-03-14 07:22:51;11.180;2.182
2024-04-10 07:22:55;11.003;0.011
2024-05-07 07:22:57;10.576;1.266
2024-06-03 07:22:57;10.325;0.474
2024-06-30 07:22:56;10.495;0.154
2024-07-27 07:22:53;10.520;1.290
2024-08-23 07:22:50;10.787;0.052
2024-09-19 07:22:49;10.827;0.063
2024-10-16 07:22:52;10.906;0.095
2024-11-12 07:22:50;10.572;0.161
2024-12-09 07:22:48;11.140;0.008
2025-01-05 07:22:50;10.807;1.260
2025-02-28 07:22:51;11.173;0.044
2025-03-27 07:22:53;10.618;1.376
2025-04-23 07:22:57;10.723;0.090
2025-05-20 07:23:00;10.197;0.047
2025-06-16 07:22:59;10.536;0.062
2025-07-13 07:23:00;10.317;0.115
2025-08-09 07:22:59;10.384;0.017
2025-09-05 07:22:54;10.261;0.044
2025-10-02 07:22:59;10.358;0.106
2025-11-25 07:22:58;10.526;0.040
2025-12-22 07:22:57;10.576;0.074
2026-01-18 07:22:59;10.374;0.139
2026-02-14 07:23:02;10.513;1.434
2026-03-13 07:23:01;10.539;0.069
2026-04-09 07:23:06;10.922;0.030
2026-05-06 07:23:07;10.772;0.014
2026-06-02 07:23:07;10.460;0.035
2026-06-29 07:23:08;10.632;1.491
